,barrios,latitud,longitud
0, Abrantes,40.3809981,-3.7279849
1, Acacias,40.4040749,-3.7059572
2, Adelfas,40.40027955,-3.6717736378097605
3, Aeropuerto,40.494167,-3.566944
4, Aguilas,40.3814589,-3.7803772
5, Alameda de Osuna,40.457222,-3.587778
6, Almagro,40.4313814,-3.6930142045414542
7, Almenara,40.47013305,-3.694294770546252
8, Almendrales,40.3836929,-3.699095868824385
9, Aluche,40.3879228,-3.7548539
10, Amposta,40.4259727,-3.622273060268536
11, Angeles,40.3551089,-3.7001047141537544
12, Apóstol Santiago,40.4762043,-3.6580163115729967
13, Arapiles,40.43418655,-3.707922533247423
14, Aravaca,40.457749,-3.7827941
15, Arcos,40.4208334,-3.6184063519848095
16, Argüelles,40.4283434,-3.7176358
17, Atalaya,40.46380445,-3.6645788479372716
18, Atocha,40.4052036,-3.6879295943334167
19, Bellas Vistas,40.45226305,-3.7074445272219148
20, Berruguete,40.459387500000005,-3.7049237399979784
21, Buenavista,40.3728306,-3.7430863
22, Butarque,40.3399339,-3.6733878585167616
23, Campamento,40.3841078,-3.786398
24, Canillas,40.462952099999995,-3.6415426922280965
25, Canillejas,40.4473219,-3.608456
26, Casa de Campo,40.42406795,-3.755857557288471
27, Casco Histórico de Barajas,40.473611,-3.577222
28, Casco Histórico de Vallecas,40.34820155,-3.615319616841058
29, Casco Histórico de Vicálvaro,40.3879435,-3.576274015566642
30, Castellana,40.43382275,-3.6840035824511643
31, Castilla,40.47498925,-3.680451393163561
32, Castillejos,40.46148275,-3.6938777554852003
33, Chopera,40.39489315,-3.6997051134630077
34, Ciudad Jardín,40.44674675,-3.6741229415529766
35, Ciudad Universitaria,40.4436804,-3.7268294
36, Colina,40.45824765,-3.6597056668499386
37, Comillas,40.392825450000004,-3.7141869541784382
38, Concepción,40.4391188,-3.6488962580386524
39, Corralejos,40.464444,-3.59
40, Cortes,40.4143476,-3.6985251827738512
41, Costillares,40.475383449999995,-3.669831997592169
42, Cuatro Caminos,40.451865049999995,-3.6969787599696
43, Cuatro Vientos,40.3775814,-3.7924565
44, Delicias,40.39729215,-3.6894948496947286
45, El Cañaveral,40.3928801,-3.5697562
46, El Goloso,40.557883,-3.7140134
47, El Pardo,40.5205538,-3.7780738
48, El Plantío,40.468441999999996,-3.817695979687869
49, El Salvador,40.4441255,-3.6279872800816184
50, El Viso,40.44362125,-3.684988547360306
51, Embajadores,40.409680550000004,-3.701644426413222
52, Ensanche de Vallecas,40.36497555,-3.5999047239009494
53, Entrevías,40.380284,-3.6691818
54, Estrella,40.41441435,-3.6652178934436255
55, Fontarrón,40.4017365,-3.6443305940009223
56, Fuente del Berro,40.425131050000005,-3.66423759698396
57, Fuentelarreina,40.48081985,-3.739435538337466
58, Gaztambide,40.43467955,-3.7149027097918568
59, Goya,40.4247627,-3.6759535
60, Guindalera,40.436238700000004,-3.667969551605894
61, Hellín,40.4313222,-3.616768868295294
62, Hispanoamérica,40.4558141,-3.6769036299546025
63, Horcajo,40.4081864,-3.6267762
64, Ibiza,40.419141499999995,-3.6741209739676597
65, Imperial,40.4069288,-3.71732105261791
66, Justicia,40.42395689999999,-3.6957473208550464
67, La Paz,40.482122149999995,-3.695211267895985
68, Legazpi,40.3911717,-3.6951902
69, Lista,40.4293973,-3.6753988
70, Los Carmenes,40.406944,-3.726389
71, Los Jerónimos,40.418611,-3.6903516
72, Los Rosales,40.3558406,-3.688398889638639
73, Lucero,40.4048009,-3.7452693
74, Marroquina,40.409902349999996,-3.641344258473806
75, Media Legua,40.412095199999996,-3.6570053361185666
76, Mirasierra,40.4906361,-3.7161379
77, Moscardó,40.3900156,-3.7054243359777326
78, Niño Jesús,40.413441399999996,-3.6733367908983414
79, Nueva España,40.46295245,-3.678011548232455
80, Numancia,40.3987461,-3.658118607615111
81, Opañel,40.3869032,-3.7231858
82, Orcasitas,40.36727875,-3.712509095606202
83, Orcasur,40.37415595,-3.6987650754429806
84, Pacífico,40.4013961,-3.6748832
85, Palacio,40.41512925,-3.7156179983990922
86, Palomas,40.4542161,-3.615699579961719
87, Palomeras Bajas,40.3851802,-3.6584870993071865
88, Palomeras Sureste,40.3871008,-3.6344728048692065
89, Palos de Moguer,40.403926850000005,-3.6955613279574164
90, Pavones,40.398558249999994,-3.6323219442893766
91, Peñagrande,40.47791255,-3.7276781918610524
92, Pilar,40.4771334,-3.7089157
93, Pinar del Rey,40.4678284,-3.6486781
94, Piovera,40.4555687,-3.6365815727514317
95, Portazgo,40.390372549999995,-3.6481779278287636
96, Pradolongo,40.37863215,-3.705950189299193
97, Prosperidad,40.44541425,-3.6665575722469397
98, Pueblo Nuevo,40.4350329,-3.644171
99, Puerta Bonita,40.3864775,-3.7345594
100, Puerta del Angel,40.4137225,-3.7271715
101, Quintana,40.437372800000006,-3.643609918532282
102, Recoletos,40.42417315,-3.685487264974136
103, Rejas,40.4440818,-3.5696561398469453
104, Rosas,40.428713349999995,-3.5937580015210777
105, Ríos Rosas,40.442799050000005,-3.697835170446795
106, San Cristóbal,40.343263050000004,-3.688352297394898
107, San Diego,40.3894387,-3.6677411263176674
108, San Fermín,40.3719909,-3.6903920331665687
109, San Isidro,40.39777,-3.71855
110, San Juan Bautista,40.4508788,-3.655924108363301
111, San Pascual,40.44292125,-3.6539168219117277
112, Santa Eugenia,40.38340315000001,-3.613493076879776
113, Simancas,40.4275549,-3.6229906
114, Sol,40.4178272,-3.702222089915074
115, Timón,40.4767,-3.61417
116, Trafalgar,40.4332491,-3.701245895798365
117, Universidad,40.4252644,-3.7066059690556767
118, Valdeacederas,40.467156450000004,-3.704583848338933
119, Valdebernardo,40.3999118,-3.621522
120, Valdefuentes,40.49052005,-3.638320708849281
121, Valdemarín,40.46685345,-3.787092528171622
122, Valderribas,40.3991269,-3.603187957368319
123, Valdezarza,40.465309149999996,-3.7169580561013493
124, Vallehermoso,40.4430572,-3.7116809920844496
125, Valverde,40.5011401,-3.678591635224959
126, Ventas,40.424050199999996,-3.650303778136285
127," Villaverde Alto, Casco Histórico de Villaverde",40.3415173,-3.7115865
128, Vinateros,40.40536375,-3.6446581158711844
129, Vista Alegre,40.3887883,-3.7400441
130, Zofío,40.3798077,-3.7152115887442605
